CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
600,France,Female,40 - 49,2,0,1,yes,yes,101348,yes
600,Spain,Female,40 - 49,1,83807,1,no,yes,112542,no
500,France,Female,40 - 49,8,159660,3,yes,no,113931,yes
600,France,Female,30 - 39,1,0,2,no,no,93826,no
800,Spain,Female,40 - 49,2,125510,1,yes,yes,79084,no
600,Spain,Male,40 - 49,8,113755,2,yes,no,149756,yes
800,France,Male,50 - 59,7,0,2,yes,yes,10062,no
300,Germany,Female,18 - 29,4,115046,4,yes,no,119346,yes
500,France,Male,40 - 49,4,142051,2,no,yes,74940,no
600,France,Male,18 - 29,2,134603,1,yes,yes,71725,no
500,France,Male,30 - 39,6,102016,2,no,no,80181,no
400,Spain,Male,18 - 29,3,0,2,yes,no,76390,no
400,France,Female,30 - 39,10,0,2,yes,no,26260,no
500,France,Female,18 - 29,5,0,2,no,no,190857,no
600,Spain,Female,30 - 39,7,0,2,yes,yes,65951,no
600,Germany,Male,40 - 49,3,143129,2,no,yes,64327,no
600,Germany,Male,50 - 59,1,132602,1,yes,no,5097,yes
500,Spain,Female,18 - 29,9,0,2,yes,yes,14406,no
500,Spain,Male,40 - 49,6,0,1,no,no,158684,no
700,France,Female,18 - 29,6,0,2,yes,yes,54724,no
700,France,Male,40 - 49,8,0,2,yes,yes,170886,no
600,Spain,Female,30 - 39,8,0,2,yes,no,138555,no
500,Spain,Female,30 - 39,4,0,1,yes,no,118913,yes
600,France,Male,40 - 49,3,0,2,no,yes,8487,no
800,France,Female,30 - 39,5,0,1,yes,yes,187616,no
500,France,Male,18 - 29,3,0,2,no,yes,124508,no
700,Germany,Male,30 - 39,2,136815,1,yes,yes,170041,no
500,France,Male,40 - 49,9,0,2,no,no,38433,no
500,Germany,Female,40 - 49,3,141349,1,yes,yes,100187,no
400,France,Male,18 - 29,0,59697,2,yes,yes,53483,no
500,Spain,Female,30 - 39,3,0,3,yes,no,140469,yes
500,France,Male,30 - 39,7,85311,1,no,yes,156731,no
500,Germany,Male,40 - 49,9,110112,2,no,no,81898,no
500,Spain,Female,40 - 49,6,0,2,yes,yes,34410,no
700,Spain,Female,18 - 29,9,0,2,yes,yes,142033,no
400,France,Female,40 - 49,0,134264,1,yes,no,27822,yes
400,Spain,Male,30 - 39,3,145260,1,no,yes,114066,no
800,Spain,Male,30 - 39,7,76548,1,no,yes,98453,no
800,France,Male,30 - 39,7,0,1,yes,yes,40812,no
500,Germany,Male,40 - 49,6,70349,2,no,yes,178074,no
400,Spain,Male,40 - 49,4,0,1,yes,no,70154,no
400,France,Female,50 - 59,8,122522,1,no,no,181297,yes
500,France,Female,60 - 69,2,117419,1,yes,yes,94153,no
800,France,Female,40 - 49,2,131394,1,no,no,194365,yes
600,Spain,Female,60 - 69,5,155931,1,yes,yes,158338,no
700,Germany,Female,30 - 39,4,109421,2,yes,yes,126517,no
800,Germany,Female,18 - 29,9,112045,1,yes,yes,119708,yes
600,Germany,Female,30 - 39,9,137843,1,yes,yes,117622,yes
500,Germany,Male,30 - 39,2,103391,1,no,yes,90878,no
700,Germany,Female,30 - 39,2,103769,2,yes,no,194099,no
600,Germany,Male,40 - 49,10,116363,2,yes,no,198059,no
500,Germany,Male,30 - 39,5,146050,2,no,no,86424,no
700,France,Female,30 - 39,5,0,2,no,no,116978,no
600,Germany,Male,40 - 49,8,125561,1,no,no,164040,yes
600,Germany,Male,40 - 49,1,98495,1,yes,no,40014,yes
600,France,Male,40 - 49,1,125211,1,yes,yes,113410,no
600,France,Male,40 - 49,5,127864,1,yes,no,87107,no
700,Germany,Male,18 - 29,0,75888,1,no,no,45613,no
500,Spain,Female,60 - 69,4,0,1,yes,no,1643,yes
600,France,Male,50 - 59,4,40685,1,yes,yes,46775,no
700,Germany,Male,30 - 39,5,136857,1,no,no,84509,no
600,Germany,Female,18 - 29,9,152328,2,no,no,126494,no
500,Spain,Male,30 - 39,1,56084,2,no,no,178798,no
600,Spain,Male,50 - 59,8,78707,1,yes,yes,99398,no
600,Germany,Male,18 - 29,4,109166,1,yes,yes,92840,no
700,Germany,Female,30 - 39,6,169831,2,yes,yes,27758,no
500,Germany,Female,30 - 39,1,101633,1,yes,no,110431,no
700,Germany,Male,40 - 49,10,123180,2,yes,yes,196673,no
600,Germany,Female,30 - 39,5,150725,2,no,yes,113656,no
